output,msg
emergency,unable to sit due to sticky stains on berth. PNR no 4512791357. do help immediately
emergency,pnr no 4512791357 need mdical emergency.having blood vomits 
emergency,"mobile stolen , need emergency help to track it pnr 4512791357"
emergency,"no water supply in basins for the hast 7 hours,contacted tt but all in vain pnr no 4512791357"
emergency,"fan isnt working for the last 6 hours at the time of peak summer, do help  pnr 4512791357 "
emergency,paid for ac but feeling the hotness of railways negligence. Attention needed immediately pnr 4512791357
emergency,"big mouse found below the berth,plz help. Cant sleep pnr 4512791357"
emergency,hanging chains of the middle berth broken  pnr 4512791357
emergency,"aggressive copassengers, need of immediate change of seat pnr 4512791357"
emergency,"having ticket conflict, contacted ticket collecter, but all I vain. Pnr 4512791357"
emergency,"found a bag with no owner, police not taking any action pnr 4512791357"
emergency,"finger brokenof my frnd by falling from upper berth, cannot find any medical assistance pnr 4512791357"
emergency,"the whole berth area shatterd with the peels of various organics ,need immediate cleanup pnr 4512791357"
emergency,"bags stolen ,1 mine and 1 of my copassenger having imp documents pnr 4512791357"
emergency,no water supply in washrooms for the last 4 hours pnr 4512791357
emergency,"pnr 4512791357 fan chocked, repairmen came bt couldnt fix it #peak summer "
emergency,ac blowing warm air #pnr 4512791357 feeling to die in this  closed compartment
emergency,"pnr 4512791357 mosquitoes flis hovering , pls do some cleanup, tt not responding positively "
emergency,torn seat pnr 4512791357 filthy environment need some action to be taken 
emergency,"copassenger playing loud music , not obeying the tt too, sort it out pnr 4512791357"
emergency,"tt declining to accept the college id a true id , higher authorities do act pnr 4512791357"
emergency,"found a fun, we passengers couldn’t differentiate b/w a real and a toy pnr 4512791357"
emergency,pantry officials billing us double than printed . All complaints in vain pnr 4512791357
emergency,many passengrs pnr 4512791357 feeling stomach upset after dinner frm railways pantry 
emergency," train diverted from its actual route , no knowlwdge of where the fuck are we being taken.track us pnr 4512791357"
emergency,"train is at halt for the last 4.5 hrs amidst of jungle, wt the fkk is happening??? pnr 4512791357"
emergency,"pregnant lady needs the help of some lady doctor immediately, her pnr 4512791357"
emergency,"charger points of the complete bogie malfunctioning, need immediate attention pnr 4512791357"
emergency,a sweeper supposed to be thief but the matter is out of the passengers cntrl pnr 4512791357
emergency,"window pane jammed #utter winter, bone freezing cold pnr 4512791357"
emergency,"fan's speed not decreasing , we need help pnr 4512791357"
emergency,"acs not working ,pnr 4512791357, tt not responding positivelt, what do we pay for "
emergency,"berth env is quite unhygenic, insects wandering here n there pnr 4512791357"
emergency,"unremoved heavy bedrolls , stinky smell pnr 4512791357, emergency cleanup reqd"
emergency,"two copassengers fought brutally, 1 got a head injury.emergency!! His  pnr 4512791357"
feedback,@SBKULAL @Bkugne @riyaj_ali @niraj1712 @FAZALALAM234 @phanipeddapall1 @ratneshthakur86 @railmitraa @drmned @drmgtl… https://t.co/ZxsjnoOQLd
emergency,@drmlko25 @RailMinIndia @RailwayNorthern Kindly send anyone railway staff to attend 14203
emergency,@RailMinIndia plz continue train no 14307-14308
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to… 
emergency,"@RailMinIndia Dear Sir, my father is a senior citizen and is a patient too.Travelling alone and his seat is not confirmed but is having RAC."
feedback,@NitinSubudhi @RailMinIndia @PiyushGoyal 4 paise legally sahi daam pe bech ke bhi kamay jaa sakte hai.
feedback,"@RailMinIndia @PiyushGoyal 
If a person buys ticket online and if its not confirmed then why that ticket is not a v… https://t.co/fgalcVcM6C"
feedback,@RailMinIndia @drmnfr_lmg @IR_ENHM till now no action has been taken
feedback,@RailMinIndia @pk_9451 In such cases what is the way out. Please suggest solutions
feedback,"RT @carole_mortimer: #PNR #fantasy #BookBoost #IARTG #EARTG #ASMSG #IAN1 #mgtab #tw4rw

#NewRelease DERYK (Dragon Hearts 2)… "
feedback,"@RailMinIndia @RailwayNorthern @PiyushGoyalOffc this winter no fog now a days, still so late trains. It looks staff… https://t.co/x0ATy1Fd28"
emergency,"@RailMinIndia train no 12551 , b10,23 .here water is leaking from AC.  Please do the needful."
emergency,@RailMinIndia Train has departed Varanasi and will be reaching Chunar in few minutes and then Mirzapur.
emergency,@RailMinIndia Thanks for the reply ..:). PNR-4138201979.
feedback,"RT @RailMinIndia: All commodities have registered robust growth with steel at 16%, cement 10%, containers 13%, iron ore 5% and coal 2… "
emergency,"@DRMbhopal @RailMinIndia @sanjaygupta2012 sorry for inconvenience ,matter noted to @OPTGBSL"
emergency,@RailMinIndia please help. His PNR number is 2820176609
feedback,Check out Thief Catcher on The Prolific Reader! #instafreebie #freebook #whattoread #pnr https://t.co/jB0Hts5o8J https://t.co/brSUrxmByu
emergency,#NTES National Train enquiry system is not updating #Mumbai Localtrain running info properly @Central_Railway… https://t.co/8C0robxMP9
emergency,@ahamadali222  Kindly share PNR number.  Matter forwarded to the concerned officials @Drmdelhi @IR_EDMECHG @CRSE_CHG_NR
emergency,@RailMinIndia sir..the train status is bit confusing.. https://t.co/1Y83dnU9A8
emergency,@RailMinIndia @IRCTC_Ltd @DCPDelhiRailway @drmdelhi Train 12724 has been at a halt since 30 mins at Hazrat Nizamudd… https://t.co/ntm09W6sci
emergency,"@RailMinIndia @drmadiwr @PiyushGoyal @IRCTC_Ltd ajmer exp Some people sleeping in local coash senior citizen, ladies many people standing"
emergency,"RT @IndiaBTL: Glad to inform &amp; confirmed from multiple sources, the newspaper was not distributed by railways officially, but cou…"
emergency,RT @kautilyadutt: #NTES National Train enquiry system is not updating #Mumbai Localtrain running info properly @Central_Railway…
emergency,@RailMinIndia standard meals charging Rs 100 in 12194 train .my pnr no 8420297219
emergency,@RatlamDRM @SBKULAL @Bkugne @riyaj_ali @niraj1712 @FAZALALAM234 @phanipeddapall1 @ratneshthakur86 @railmitraa… https://t.co/yXriZjSJiC
feedback,@Cleartrip If u want ticket print i can DM to u for PNR etc.?U can also check whether refund has been processed to… https://t.co/PKiywKLV2l
emergency,@DRMbhopal @satyavsingh @RailMinIndia Sorry for inconvenience complaint will be attend at ITARSI
emergency,@RailMinIndia @bbiswajit88 Details not available pls.
emergency,RT @EdenAshe: Add #AllINeed to your TBR shelf! #iartg #ian1 #asmsg #bookboost #RT #paranormalromance #PNR #1click #oneclick… 
emergency,12142 train stops at thane or not @RailMinIndia please reply
emergency,@RailMinIndia @ankulaagarwal @TVC138 @IR_EDMECHG @crsechgsrly Matter informed to concern officials @CCRBCT @srdmebct .Regards
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to…
feedback,@PiyushGoyal @narendramodi @RailMinIndia @drmadiwr @PiyushGoyal @IRCTC_Ltd ajmer exp Some people sleeping in local… https://t.co/VIlogxqpl1
emergency,@Anupama__P @RailMinIndia Official concerned has been advised to look into this
feedback,@drmncrald @GMNCR1 @rudrakumathakur @RailSamachar @RailMinIndia @PMOIndia @narendramodi @PMOffice_India… https://t.co/Z8FOLm3QmX
emergency,@RailMinIndia @drmadiwr @RailMinIndia @drmadiwr @PiyushGoyal @IRCTC_Ltd ajmer exp Some people sleeping in local coa… https://t.co/r6okRu4sYv
feedback,"Please take up my case too, I just cant keep calling on the IRCTC number that doesn't get connected @irctcwestzone @IRCTC_Ltd @RailMinIndia"
emergency,@RailMinIndia @ahamadali222 @IR_EDMECHG @CRSE_CHG_NR matter is fwd to the @SrDMEdelhi
feedback,RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it to…
emergency,@drmbct @RailMinIndia @TVC138 @IR_EDMECHG @crsechgsrly @CCRBCT @srdmebct The train has stoped at navsari platform but no one is here to see
emergency,@DArpitBhargava @WesternRly @sureshpprabhu @PiyushGoyal @IndianRailMedia @RailMinIndia @DRM_Agra  kindly look into this
emergency,"@RailMinIndia @drmdelhi @IR_EDMECHG @CRSE_CHG_NR 2139649203 
Name . Ahmad Ali D2 sheat no 29"
emergency,@IRCTC_Ltd @RailMinIndia @drmadiwr @PiyushGoyal @IRCTC_Ltd ajmer exp Some people sleeping in local coash senior cit… https://t.co/uF5KUdQ0hU
emergency,"""@RailMinIndia 
I want to draw your attention about train running late. I've reservation on 13006 train. Yday this t… https://t.co/OEeuzFeHgh"""
feedback,@RailMinIndia @CoalIndiaHQ #StopStaggeredRestCil
feedback,@pkroy0077 @RailMinIndia veg thali you paid RS50 only
